PRODUCT_ID;CATEGORY;POPULARITY
1;12;752
2;10;505
3;14;283
4;33;485
5;37;486
6;2;245
7;15;523
8;3;552
9;21;244
10;34;253
11;21;273
12;14;257
13;24;749
14;19;274
15;33;255
16;19;438
17;36;704
18;7;700
19;13;475
20;24;243
21;22;489
22;12;475
23;14;971
24;10;673
25;13;715
26;2;481
27;16;276
28;27;504
29;16;972
30;26;451
31;31;521
32;39;504
33;14;1000
34;30;463
35;15;255
36;30;493
37;3;1192
38;36;738
39;10;237
40;39;463
41;38;259
42;14;1173
43;24;242
44;16;277
45;31;528
46;37;268
47;22;536
48;37;955
49;2;260
50;12;245
51;14;269
52;32;463
53;13;540
54;11;965
55;13;264
56;28;754
57;32;758
58;30;495
59;20;260
60;23;678
61;9;249
62;3;778
63;23;488
64;18;535
65;21;256
66;32;261
67;29;666
68;39;732
69;13;229
70;28;274
71;6;266
72;7;672
73;23;270
74;15;259
75;15;433
76;27;250
77;13;254
78;9;737
79;2;262
80;18;248
81;2;749
82;19;751
83;30;251
84;23;713
85;25;267
86;9;260
87;30;462
88;8;744
89;16;215
90;31;783
91;29;710
92;4;519
93;39;269
94;0;684
95;26;477
96;36;516
97;32;681
98;6;233
99;12;297
100;8;505
101;22;460
102;28;482
103;23;467
104;5;697
105;23;470
106;35;475
107;34;249
108;19;487
109;15;490
110;11;490
111;20;465
112;0;255
113;11;488
114;1;723
115;39;527
116;39;253
117;34;255
118;25;504
119;11;489
120;1;268
121;16;232
122;6;470
123;1;513
124;3;497
125;25;493
126;13;428
127;24;739
128;5;644
129;3;521
130;31;759
131;2;576
132;34;247
133;29;253
134;33;484
135;2;987
136;24;481
137;34;701
138;13;279
139;22;725
140;9;245
141;31;261
142;14;512
143;13;688
144;29;229
145;6;684
146;29;491
147;30;688
148;15;270
149;38;264
150;13;265
151;39;271
152;24;745
153;9;264
154;36;257
155;25;731
156;0;498
157;18;925
158;2;654
159;4;274
160;10;250
161;34;697
162;19;244
163;22;456
164;17;949
165;6;251
166;14;464
167;26;691
168;5;249
169;17;274
170;0;747
171;16;457
172;9;280
173;23;523
174;36;540
175;11;524
176;0;713
177;31;459
178;25;518
179;18;478
180;13;232
181;28;259
182;36;552
183;4;259
184;27;228
185;33;245
186;16;474
187;4;755
188;17;704
189;21;249
190;23;241
191;35;490
192;16;455
193;10;651
194;19;274
195;8;254
196;12;495
197;33;518
198;2;482
199;1;523
200;38;278
201;20;246
202;36;758
203;25;987
204;20;243
205;39;738
206;22;509
207;11;246
208;6;254
209;15;281
210;26;500
211;37;502
212;34;721
213;3;717
214;36;270
215;24;299
216;33;249
217;7;733
218;23;235
219;13;251
220;2;264
221;6;259
222;21;1141
223;8;762
224;0;516
225;7;530
226;19;257
227;4;477
228;4;262
229;38;276
230;16;702
231;19;267
232;16;965
233;1;269
234;14;449
235;7;950
236;21;267
237;0;512
238;29;450
239;5;650
240;10;507
241;12;264
242;6;277
243;22;245
244;14;538
245;13;252
246;12;271
247;2;477
248;3;520
249;29;248
250;23;267
251;7;484
252;18;708
253;2;536
254;20;265
255;17;264
256;37;269
257;12;714
258;24;493
259;13;254
260;35;460
261;31;242
262;17;503
263;25;445
264;22;533
265;24;453
266;18;498
267;15;246
268;28;758
269;39;492
270;37;281
271;11;721
272;3;274
273;27;721
274;33;259
275;11;679
276;13;768
277;29;241
278;39;492
279;9;727
280;26;490
281;28;994
282;39;267
283;24;478
284;0;290
285;35;506
286;35;485
287;24;549
288;22;1021
289;22;470
290;18;272
291;36;513
292;34;488
293;0;498
294;39;769
295;1;762
296;35;946
297;36;245
298;26;267
299;17;502
300;7;242
301;29;518
302;5;1172
303;28;235
304;9;528
305;5;253
306;37;269
307;21;762
308;3;533
309;0;510
310;19;463
311;30;499
312;22;519
313;2;471
314;13;517
315;29;486
316;12;255
317;7;746
318;8;667
319;15;279
320;26;232
321;10;512
322;14;516
323;36;251
324;7;461
325;25;265
326;35;268
327;8;978
328;19;248
329;5;283
330;8;241
331;22;509
332;18;257
333;11;703
334;14;492
335;31;495
336;2;470
337;4;513
338;34;981
339;34;255
340;33;910
341;21;529
342;11;491
343;25;723
344;27;1032
345;31;257
346;24;692
347;6;241
348;32;434
349;32;492
350;31;265
351;15;535
352;31;549
353;17;496
354;28;264
355;29;264
356;21;467
357;27;480
358;2;486
359;37;749
360;17;238
361;7;1008
362;10;266
363;10;491
364;30;492
365;20;266
366;9;666
367;5;460
368;26;267
369;28;487
370;3;450
371;35;283
372;30;481
373;37;527
374;35;720
375;16;538
376;30;747
377;15;280
378;17;232
379;10;282
380;21;247
381;6;428
382;12;738
383;2;478
384;12;443
385;22;233
386;25;244
387;24;243
388;14;260
389;31;230
390;19;248
391;31;255
392;34;475
393;24;265
394;10;944
395;30;252
396;37;725
397;13;479
398;11;728
399;25;277
400;27;275
401;35;509
402;26;273
403;1;478
404;39;520
405;12;463
406;8;239
407;39;219
408;8;275
409;27;246
410;23;229
411;31;508
412;34;268
413;16;254
414;25;438
415;2;530
416;31;255
417;8;498
418;25;252
419;3;534
420;14;724
421;17;464
422;6;685
423;6;246
424;3;511
425;3;276
426;10;467
427;37;261
428;9;1074
429;0;490
430;27;540
431;26;253
432;7;249
433;36;251
434;31;479
435;35;255
436;27;260
437;20;227
438;2;476
439;15;718
440;31;279
441;7;485
442;7;471
443;30;288
444;20;718
445;26;981
446;22;251
447;10;263
448;7;507
449;22;237
450;36;268
451;30;463
452;13;466
453;4;259
454;15;780
455;12;515
456;15;263
457;21;967
458;34;251
459;20;217
460;1;223
461;26;685
462;27;773
463;19;506
464;2;745
465;19;957
466;29;218
467;13;511
468;18;488
469;8;482
470;34;494
471;29;282
472;14;239
473;9;887
474;35;485
475;3;264
476;16;517
477;25;718
478;4;469
479;4;258
480;8;261
481;1;714
482;6;516
483;4;242
484;26;284
485;17;243
486;38;305
487;28;286
488;17;708
489;32;264
490;24;766
491;20;265
492;30;246
493;3;508
494;19;258
495;38;264
496;20;979
497;29;519
498;39;712
499;29;243
500;15;273
501;21;516
502;20;966
503;35;496
504;21;238
505;39;266
506;21;700
507;0;944
508;2;268
509;31;477
510;18;287
511;21;506
512;23;507
513;25;234
514;17;513
515;23;276
516;38;267
517;17;534
518;38;484
519;28;263
520;13;737
521;1;454
522;1;275
523;15;238
524;29;237
525;5;512
526;2;270
527;0;244
528;35;724
529;21;712
530;23;250
531;18;298
532;9;282
533;33;279
534;1;248
535;8;490
536;28;725
537;4;461
538;6;248
539;17;726
540;2;262
541;39;467
542;29;527
543;36;754
544;10;715
545;26;457
546;12;733
547;23;256
548;1;264
549;36;515
550;11;760
551;21;223
552;9;526
553;35;452
554;18;278
555;18;1004
556;6;511
557;8;709
558;16;494
559;14;407
560;18;452
561;9;497
562;0;260
563;33;263
564;20;722
565;0;468
566;24;451
567;39;437
568;19;468
569;14;267
570;27;244
571;29;267
572;37;249
573;24;719
574;12;258
575;15;293
576;39;496
577;4;242
578;33;489
579;0;459
580;20;488
581;4;256
582;34;261
583;20;265
584;20;253
585;9;292
586;21;277
587;7;486
588;20;541
589;10;521
590;25;258
591;38;268
592;12;509
593;5;237
594;13;262
595;38;479
596;39;497
597;31;506
598;11;724
599;13;257
600;31;530
601;30;468
602;25;713
603;26;464
604;32;743
605;21;224
606;12;251
607;38;264
608;35;923
609;39;273
610;6;457
611;5;265
612;11;658
613;1;451
614;20;532
615;21;254
616;11;492
617;20;261
618;25;272
619;1;466
620;7;506
621;9;498
622;4;727
623;13;265
624;37;246
625;4;488
626;21;534
627;8;758
628;12;741
629;37;525
630;33;480
631;33;236
632;15;489
633;38;268
634;4;464
635;4;450
636;5;770
637;20;267
638;11;270
639;39;266
640;3;1211
641;19;259
642;3;242
643;37;891
644;39;735
645;16;234
646;5;273
647;34;255
648;7;524
649;12;503
650;10;506
651;11;258
652;2;280
653;17;497
654;2;250
655;17;521
656;4;475
657;16;490
658;14;259
659;26;255
660;0;757
661;3;481
662;39;256
663;32;257
664;14;267
665;28;652
666;16;252
667;37;481
668;10;505
669;8;484
670;20;239
671;1;801
672;30;266
673;20;244
674;26;247
675;22;264
676;16;718
677;39;540
678;29;252
679;16;457
680;21;507
681;0;255
682;12;272
683;12;272
684;9;243
685;0;270
686;12;454
687;19;466
688;10;474
689;38;291
690;21;717
691;22;284
692;19;743
693;37;513
694;38;503
695;19;493
696;17;306
697;13;271
698;39;245
699;38;246
700;11;235
701;22;267
702;5;262
703;4;734
704;23;479
705;33;483
706;12;496
707;14;730
708;30;713
709;25;441
710;20;519
711;13;514
712;19;1236
713;9;518
714;23;230
715;18;713
716;19;521
717;2;726
718;25;274
719;15;237
720;10;716
721;21;268
722;23;500
723;36;539
724;1;710
725;5;244
726;37;263
727;6;515
728;15;275
729;32;277
730;32;259
731;32;279
732;12;690
733;3;493
734;6;263
735;8;504
736;21;943
737;32;270
738;14;721
739;32;480
740;17;271
741;30;482
742;9;490
743;28;451
744;28;296
745;3;477
746;19;272
747;39;505
748;28;763
749;33;689
750;7;259
751;19;295
752;20;512
753;13;498
754;1;739
755;32;233
756;13;486
757;30;487
758;9;721
759;14;905
760;20;499
761;8;265
762;31;519
763;5;514
764;38;890
765;13;729
766;24;247
767;7;239
768;22;245
769;24;758
770;6;280
771;11;499
772;26;249
773;21;230
774;4;703
775;22;271
776;4;452
777;2;459
778;26;771
779;8;260
780;37;492
781;29;480
782;32;500
783;22;250
784;1;513
785;16;267
786;35;451
787;22;466
788;7;269
789;38;257
790;23;480
791;14;271
792;1;515
793;8;1303
794;5;536
795;19;498
796;20;1206
797;30;753
798;29;710
799;12;709
800;0;272
801;5;492
802;17;728
803;33;268
804;27;962
805;21;484
806;26;740
807;2;247
808;1;699
809;33;448
810;39;274
811;9;275
812;4;1415
813;24;272
814;32;275
815;29;274
816;28;730
817;16;267
818;20;508
819;6;916
820;39;752
821;7;271
822;17;499
823;5;266
824;30;276
825;0;294
826;8;499
827;28;240
828;4;513
829;1;284
830;13;493
831;27;758
832;7;527
833;36;452
834;29;245
835;3;233
836;32;223
837;6;683
838;1;272
839;31;271
840;27;746
841;11;515
842;33;463
843;1;524
844;6;498
845;38;969
846;37;690
847;14;498
848;39;762
849;27;724
850;13;986
851;37;513
852;27;247
853;4;257
854;32;240
855;10;686
856;27;697
857;30;534
858;11;515
859;13;510
860;16;510
861;36;979
862;8;255
863;19;686
864;21;236
865;31;548
866;32;274
867;14;269
868;38;474
869;7;261
870;32;497
871;23;482
872;11;466
873;38;232
874;33;270
875;24;258
876;23;264
877;0;239
878;9;250
879;6;502
880;39;504
881;0;680
882;33;474
883;5;222
884;38;699
885;13;511
886;27;464
887;19;495
888;1;244
889;35;256
890;37;507
891;16;243
892;36;498
893;26;218
894;0;255
895;22;789
896;16;492
897;24;241
898;19;290
899;11;263
900;20;229
901;14;242
902;19;499
903;2;513
904;2;527
905;21;273
906;29;240
907;38;257
908;3;262
909;14;272
910;0;737
911;12;275
912;9;261
913;7;547
914;39;1128
915;7;229
916;3;502
917;23;307
918;21;751
919;10;236
920;33;714
921;38;720
922;15;470
923;28;500
924;17;260
925;4;245
926;7;518
927;13;1151
928;4;500
929;18;246
930;5;541
931;19;253
932;6;256
933;33;269
934;32;762
935;26;464
936;29;258
937;36;274
938;24;738
939;19;514
940;12;462
941;16;514
942;27;252
943;22;273
944;36;259
945;2;233
946;15;246
947;38;548
948;15;482
949;20;709
950;31;699
951;16;231
952;28;249
953;34;747
954;3;220
955;21;463
956;24;483
957;8;486
958;24;500
959;1;249
960;30;474
961;3;492
962;2;994
963;6;502
964;39;732
965;25;520
966;39;453
967;6;759
968;30;521
969;37;510
970;12;271
971;27;493
972;28;494
973;14;465
974;10;521
975;0;508
976;29;267
977;26;251
978;16;510
979;1;246
980;1;943
981;10;249
982;8;259
983;15;256
984;20;504
985;15;464
986;18;260
987;2;273
988;34;229
989;19;507
990;17;260
991;36;271
992;23;696
993;27;478
994;25;251
995;21;429
996;17;707
997;23;469
998;38;679
999;30;499
1000;9;491
